team,wins,losses
Atlanta,24,58
Boston,55,27
Brooklyn,28,54
Charlotte,36,46
Chicago,27,55
Cleveland,50,32
Dallas,24,58
Denver,46,36
Detroit,39,43
Golden State,58,24
Houston,65,17
Indiana,48,34
LA Clippers,42,40
LA Lakers,35,47
Memphis,22,60
Miami,44,38
Milwaukee,44,38
Minnesota,47,35
New Orleans,48,34
New York,29,53
Oklahoma City,48,34
Orlando,25,57
Philadelphia,52,30
Phoenix,21,61
Portland,49,33
Sacremento,27,55
San Antonio,47,35
Toronto,59,23
Utah,48,34
Washington,43,39